DATE & TIME, FREQUENCY(Hz)
12 June 2022 07:00:00,50.03
12 June 2022 07:00:05,49.97
12 June 2022 07:00:10,50.02
12 June 2022 07:00:15,50.03
12 June 2022 07:00:20,50
12 June 2022 07:00:25,50.01
12 June 2022 07:00:30,50.02
12 June 2022 07:00:35,50.02
12 June 2022 07:00:40,50
12 June 2022 07:00:45,50.02
12 June 2022 07:00:50,50.02
12 June 2022 07:00:55,50.01
12 June 2022 07:01:00,50.01
12 June 2022 07:01:05,50
12 June 2022 07:01:10,50.03
12 June 2022 07:01:15,50.03
12 June 2022 07:01:20,50.02
12 June 2022 07:01:25,50.02
12 June 2022 07:01:30,50.01
12 June 2022 07:01:35,50.01
12 June 2022 07:01:40,50
12 June 2022 07:01:45,50
12 June 2022 07:01:50,50.02
12 June 2022 07:01:55,50.02
12 June 2022 07:02:00,50.02
12 June 2022 07:02:05,50
12 June 2022 07:02:10,50.02
12 June 2022 07:02:15,50.02
12 June 2022 07:02:20,50.01
12 June 2022 07:02:25,50
12 June 2022 07:02:30,50.01
12 June 2022 07:02:35,50.02
12 June 2022 07:02:40,50.02
12 June 2022 07:02:45,50.01
12 June 2022 07:02:50,50.01
12 June 2022 07:02:55,50
12 June 2022 07:03:00,50
12 June 2022 07:03:05,49.98
12 June 2022 07:03:10,50
12 June 2022 07:03:15,50.02
12 June 2022 07:03:20,50.02
12 June 2022 07:03:25,50
12 June 2022 07:03:30,50
12 June 2022 07:03:35,50.02
12 June 2022 07:03:40,50.03
12 June 2022 07:03:45,50.02
12 June 2022 07:03:50,50.03
12 June 2022 07:03:55,50.02
12 June 2022 07:04:00,50.01
12 June 2022 07:04:05,49.99
12 June 2022 07:04:10,50.01
12 June 2022 07:04:15,50.02
12 June 2022 07:04:20,50.02
12 June 2022 07:04:25,50.02
12 June 2022 07:04:30,50.01
12 June 2022 07:04:35,50.03
12 June 2022 07:04:40,50.03
12 June 2022 07:04:45,50.01
12 June 2022 07:04:50,50.02
12 June 2022 07:04:55,50.01
12 June 2022 07:05:00,50.02
12 June 2022 07:05:05,50
12 June 2022 07:05:10,50.04
12 June 2022 07:05:15,50.04
12 June 2022 07:05:20,50.02
12 June 2022 07:05:25,50.02
12 June 2022 07:05:30,50.03
12 June 2022 07:05:35,50.01
12 June 2022 07:05:40,50.01
12 June 2022 07:05:45,50.02
12 June 2022 07:05:50,50.01
12 June 2022 07:05:55,50.01
12 June 2022 07:06:00,50.01
12 June 2022 07:06:05,50.01
12 June 2022 07:06:10,50.04
12 June 2022 07:06:15,50.04
12 June 2022 07:06:20,50.03
12 June 2022 07:06:25,50.03
12 June 2022 07:06:30,50.03
12 June 2022 07:06:35,50.02
12 June 2022 07:06:40,50.04
12 June 2022 07:06:45,50.04
12 June 2022 07:06:50,50.02
12 June 2022 07:06:55,50.02
12 June 2022 07:07:00,50.02
12 June 2022 07:07:05,50.01
12 June 2022 07:07:10,50.02
12 June 2022 07:07:15,50.03
12 June 2022 07:07:20,50.04
12 June 2022 07:07:25,50.04
12 June 2022 07:07:30,50.03
12 June 2022 07:07:35,50.04
12 June 2022 07:07:40,50.04
12 June 2022 07:07:45,50.04
12 June 2022 07:07:50,50.04
12 June 2022 07:07:55,50.03
12 June 2022 07:08:00,50.04
12 June 2022 07:08:05,50.02
12 June 2022 07:08:10,50.03
12 June 2022 07:08:15,50.02
12 June 2022 07:08:20,50.02
12 June 2022 07:08:25,50.02
12 June 2022 07:08:30,50.02
12 June 2022 07:08:35,50.03
12 June 2022 07:08:40,50.03
12 June 2022 07:08:45,50.04
12 June 2022 07:08:50,50.04
12 June 2022 07:08:55,50.04
12 June 2022 07:09:00,50.01
12 June 2022 07:09:05,49.99
12 June 2022 07:09:10,50.03
12 June 2022 07:09:15,50.03
12 June 2022 07:09:20,50.03
12 June 2022 07:09:25,50.03
