DATE & TIME, FREQUENCY(Hz)
12 June 2022 12:00:00,50.04
12 June 2022 12:00:05,49.99
12 June 2022 12:00:10,50.05
12 June 2022 12:00:15,50.06
12 June 2022 12:00:20,50.06
12 June 2022 12:00:25,50.06
12 June 2022 12:00:30,50.07
12 June 2022 12:00:35,50.07
12 June 2022 12:00:40,50.06
12 June 2022 12:00:45,50.06
12 June 2022 12:00:50,50.07
12 June 2022 12:00:55,50.05
12 June 2022 12:01:00,50.05
12 June 2022 12:01:05,50.04
12 June 2022 12:01:10,50.06
12 June 2022 12:01:15,50.07
12 June 2022 12:01:20,50.05
12 June 2022 12:01:25,50.05
12 June 2022 12:01:30,50.06
12 June 2022 12:01:35,50.06
12 June 2022 12:01:40,50.06
12 June 2022 12:01:45,50.06
12 June 2022 12:01:50,50.05
12 June 2022 12:01:55,50.05
12 June 2022 12:02:00,50.04
12 June 2022 12:02:05,50.02
12 June 2022 12:02:10,50.04
12 June 2022 12:02:15,50.05
12 June 2022 12:02:20,50.04
12 June 2022 12:02:25,50.01
12 June 2022 12:02:30,50.02
12 June 2022 12:02:35,50.03
12 June 2022 12:02:40,50.02
12 June 2022 12:02:45,50.02
12 June 2022 12:02:50,50.01
12 June 2022 12:02:55,50.01
12 June 2022 12:03:00,50.02
12 June 2022 12:03:05,50.02
12 June 2022 12:03:10,50.03
12 June 2022 12:03:15,50.04
12 June 2022 12:03:20,50.04
12 June 2022 12:03:25,50.04
12 June 2022 12:03:30,50.04
12 June 2022 12:03:35,50.02
12 June 2022 12:03:40,50.01
12 June 2022 12:03:45,50.02
12 June 2022 12:03:50,50.01
12 June 2022 12:03:55,49.99
12 June 2022 12:04:00,49.98
12 June 2022 12:04:05,50
12 June 2022 12:04:10,50.02
12 June 2022 12:04:15,50.01
12 June 2022 12:04:20,50
12 June 2022 12:04:25,50
12 June 2022 12:04:30,50
12 June 2022 12:04:35,49.99
12 June 2022 12:04:40,50
12 June 2022 12:04:45,50.03
12 June 2022 12:04:50,50.02
12 June 2022 12:04:55,49.98
12 June 2022 12:05:00,49.98
12 June 2022 12:05:05,49.98
12 June 2022 12:05:10,50.02
12 June 2022 12:05:15,50.02
12 June 2022 12:05:20,50.01
12 June 2022 12:05:25,50
12 June 2022 12:05:30,50
12 June 2022 12:05:35,50
12 June 2022 12:05:40,50.01
12 June 2022 12:05:45,50
12 June 2022 12:05:50,49.98
12 June 2022 12:05:55,49.96
12 June 2022 12:06:00,49.99
