DATE & TIME, FREQUENCY(Hz)
12 June 2022 10:00:00,49.96
12 June 2022 10:00:05,49.93
12 June 2022 10:00:10,49.96
12 June 2022 10:00:15,49.95
12 June 2022 10:00:20,49.95
12 June 2022 10:00:25,49.96
12 June 2022 10:00:30,49.97
12 June 2022 10:00:35,49.98
12 June 2022 10:00:40,50.01
12 June 2022 10:00:45,50.01
12 June 2022 10:00:50,50
12 June 2022 10:00:55,49.97
12 June 2022 10:01:00,49.96
12 June 2022 10:01:05,49.94
12 June 2022 10:01:10,49.96
12 June 2022 10:01:15,49.96
12 June 2022 10:01:20,49.95
12 June 2022 10:01:25,49.95
12 June 2022 10:01:30,49.97
12 June 2022 10:01:35,49.98
12 June 2022 10:01:40,49.97
12 June 2022 10:01:45,49.95
12 June 2022 10:01:50,49.96
12 June 2022 10:01:55,49.97
12 June 2022 10:02:00,49.96
12 June 2022 10:02:05,49.93
12 June 2022 10:02:10,49.96
12 June 2022 10:02:15,49.95
12 June 2022 10:02:20,49.95
12 June 2022 10:02:25,49.98
12 June 2022 10:02:30,49.97
12 June 2022 10:02:35,49.97
12 June 2022 10:02:40,49.96
12 June 2022 10:02:45,49.95
12 June 2022 10:02:50,49.94
12 June 2022 10:02:55,49.95
12 June 2022 10:03:00,49.95
12 June 2022 10:03:05,49.92
12 June 2022 10:03:10,49.95
12 June 2022 10:03:15,49.97
12 June 2022 10:03:20,49.97
12 June 2022 10:03:25,49.97
12 June 2022 10:03:30,49.96
12 June 2022 10:03:35,49.94
12 June 2022 10:03:40,49.94
12 June 2022 10:03:45,49.95
12 June 2022 10:03:50,49.96
12 June 2022 10:03:55,49.95
12 June 2022 10:04:00,49.96
12 June 2022 10:04:05,49.96
12 June 2022 10:04:10,50
12 June 2022 10:04:15,50
12 June 2022 10:04:20,49.99
12 June 2022 10:04:25,49.99
12 June 2022 10:04:30,49.98
12 June 2022 10:04:35,50
12 June 2022 10:04:40,49.99
12 June 2022 10:04:45,49.98
12 June 2022 10:04:50,49.98
12 June 2022 10:04:55,49.97
12 June 2022 10:05:00,49.97
12 June 2022 10:05:05,49.95
12 June 2022 10:05:10,49.96
12 June 2022 10:05:15,49.99
12 June 2022 10:05:20,49.99
12 June 2022 10:05:25,50
12 June 2022 10:05:30,50
12 June 2022 10:05:35,49.98
12 June 2022 10:05:40,49.99
