DATE & TIME, FREQUENCY(Hz)
12 June 2022 01:00:00,50.02
12 June 2022 01:00:05,49.96
12 June 2022 01:00:10,49.97
12 June 2022 01:00:15,49.97
12 June 2022 01:00:20,49.97
12 June 2022 01:00:25,49.97
12 June 2022 01:00:30,49.98
12 June 2022 01:00:35,49.98
12 June 2022 01:00:40,49.98
12 June 2022 01:00:45,50
12 June 2022 01:00:50,49.99
12 June 2022 01:00:55,49.97
12 June 2022 01:01:00,49.97
12 June 2022 01:01:05,49.97
12 June 2022 01:01:10,49.99
12 June 2022 01:01:15,49.99
12 June 2022 01:01:20,49.99
12 June 2022 01:01:25,49.98
12 June 2022 01:01:30,49.99
12 June 2022 01:01:35,50.01
12 June 2022 01:01:40,50
12 June 2022 01:01:45,49.98
12 June 2022 01:01:50,49.98
12 June 2022 01:01:55,49.99
12 June 2022 01:02:00,49.99
12 June 2022 01:02:05,49.98
12 June 2022 01:02:10,49.98
12 June 2022 01:02:15,50
12 June 2022 01:02:20,49.99
12 June 2022 01:02:25,49.97
12 June 2022 01:02:30,49.98
12 June 2022 01:02:35,49.99
12 June 2022 01:02:40,49.98
12 June 2022 01:02:45,49.99
12 June 2022 01:02:50,50
12 June 2022 01:02:55,49.99
12 June 2022 01:03:00,49.97
12 June 2022 01:03:05,49.95
12 June 2022 01:03:10,49.97
12 June 2022 01:03:15,49.99
12 June 2022 01:03:20,50
12 June 2022 01:03:25,49.98
12 June 2022 01:03:30,49.98
12 June 2022 01:03:35,49.97
12 June 2022 01:03:40,49.98
12 June 2022 01:03:45,49.99
12 June 2022 01:03:50,49.97
12 June 2022 01:03:55,49.98
12 June 2022 01:04:00,49.99
12 June 2022 01:04:05,49.96
12 June 2022 01:04:10,49.96
12 June 2022 01:04:15,49.96
12 June 2022 01:04:20,49.98
12 June 2022 01:04:25,49.98
12 June 2022 01:04:30,49.97
12 June 2022 01:04:35,49.99
12 June 2022 01:04:40,50
12 June 2022 01:04:45,50
12 June 2022 01:04:50,50
12 June 2022 01:04:55,49.99
12 June 2022 01:05:00,49.97
12 June 2022 01:05:05,49.96
12 June 2022 01:05:10,49.99
12 June 2022 01:05:15,49.98
12 June 2022 01:05:20,49.96
12 June 2022 01:05:25,49.95
12 June 2022 01:05:30,49.96
12 June 2022 01:05:35,49.97
12 June 2022 01:05:40,49.96
12 June 2022 01:05:45,49.96
12 June 2022 01:05:50,49.97
