DATE & TIME, FREQUENCY(Hz)
12 June 2022 03:00:00,50.02
12 June 2022 03:00:05,49.96
12 June 2022 03:00:10,49.99
12 June 2022 03:00:15,50
12 June 2022 03:00:20,49.98
12 June 2022 03:00:25,49.98
12 June 2022 03:00:30,49.98
12 June 2022 03:00:35,49.98
12 June 2022 03:00:40,49.98
12 June 2022 03:00:45,49.98
12 June 2022 03:00:50,49.98
12 June 2022 03:00:55,49.98
12 June 2022 03:01:00,49.98
12 June 2022 03:01:05,49.97
12 June 2022 03:01:10,49.98
12 June 2022 03:01:15,49.97
12 June 2022 03:01:20,49.97
12 June 2022 03:01:25,49.97
12 June 2022 03:01:30,49.98
12 June 2022 03:01:35,49.97
12 June 2022 03:01:40,49.98
12 June 2022 03:01:45,49.98
12 June 2022 03:01:50,49.98
12 June 2022 03:01:55,49.97
12 June 2022 03:02:00,49.97
12 June 2022 03:02:05,49.96
12 June 2022 03:02:10,49.97
12 June 2022 03:02:15,49.97
12 June 2022 03:02:20,49.98
12 June 2022 03:02:25,49.98
12 June 2022 03:02:30,49.99
12 June 2022 03:02:35,50
12 June 2022 03:02:40,50.01
12 June 2022 03:02:45,49.99
12 June 2022 03:02:50,49.97
12 June 2022 03:02:55,49.97
12 June 2022 03:03:00,49.98
12 June 2022 03:03:05,49.96
12 June 2022 03:03:10,49.97
12 June 2022 03:03:15,49.97
12 June 2022 03:03:20,49.96
12 June 2022 03:03:25,49.97
12 June 2022 03:03:30,49.98
12 June 2022 03:03:35,49.97
12 June 2022 03:03:40,49.97
12 June 2022 03:03:45,49.97
12 June 2022 03:03:50,49.97
12 June 2022 03:03:55,49.98
12 June 2022 03:04:00,49.99
12 June 2022 03:04:05,49.98
12 June 2022 03:04:10,49.98
12 June 2022 03:04:15,49.97
12 June 2022 03:04:20,49.97
12 June 2022 03:04:25,49.99
12 June 2022 03:04:30,50
12 June 2022 03:04:35,49.99
12 June 2022 03:04:40,49.97
12 June 2022 03:04:45,49.97
12 June 2022 03:04:50,49.97
12 June 2022 03:04:55,49.99
12 June 2022 03:05:00,50.01
12 June 2022 03:05:05,49.97
12 June 2022 03:05:10,49.98
12 June 2022 03:05:15,49.98
12 June 2022 03:05:20,49.98
12 June 2022 03:05:25,49.98
12 June 2022 03:05:30,49.98
12 June 2022 03:05:35,49.98
12 June 2022 03:05:40,49.98
12 June 2022 03:05:45,49.97
12 June 2022 03:05:50,49.98
12 June 2022 03:05:55,49.99
12 June 2022 03:06:00,50
12 June 2022 03:06:05,49.99
12 June 2022 03:06:10,49.99
12 June 2022 03:06:15,49.99
12 June 2022 03:06:20,49.99
12 June 2022 03:06:25,49.98
12 June 2022 03:06:30,49.98
12 June 2022 03:06:35,49.98
12 June 2022 03:06:40,49.98
12 June 2022 03:06:45,49.97
12 June 2022 03:06:50,49.98
12 June 2022 03:06:55,49.98
12 June 2022 03:07:00,49.99
12 June 2022 03:07:05,49.97
12 June 2022 03:07:10,49.98
12 June 2022 03:07:15,50
12 June 2022 03:07:20,50.01
12 June 2022 03:07:25,50.01
12 June 2022 03:07:30,50.02
12 June 2022 03:07:35,50
12 June 2022 03:07:40,49.99
12 June 2022 03:07:45,49.98
12 June 2022 03:07:50,49.98
12 June 2022 03:07:55,49.99
12 June 2022 03:08:00,50
12 June 2022 03:08:05,49.98
12 June 2022 03:08:10,49.98
12 June 2022 03:08:15,49.99
12 June 2022 03:08:20,50
12 June 2022 03:08:25,49.98
12 June 2022 03:08:30,49.97
12 June 2022 03:08:35,49.98
12 June 2022 03:08:40,49.99
12 June 2022 03:08:45,50
12 June 2022 03:08:50,50.01
12 June 2022 03:08:55,50
12 June 2022 03:09:00,49.98
12 June 2022 03:09:05,49.97
12 June 2022 03:09:10,49.99
12 June 2022 03:09:15,50.01
12 June 2022 03:09:20,50.01
12 June 2022 03:09:25,50.01
12 June 2022 03:09:30,50.01
12 June 2022 03:09:35,50
12 June 2022 03:09:40,49.99
12 June 2022 03:09:45,49.98
12 June 2022 03:09:50,49.98
12 June 2022 03:09:55,49.98
12 June 2022 03:10:00,49.99
12 June 2022 03:10:05,49.96
12 June 2022 03:10:10,49.99
12 June 2022 03:10:15,49.99
12 June 2022 03:10:20,49.98
12 June 2022 03:10:25,49.99
12 June 2022 03:10:30,50
12 June 2022 03:10:35,50
12 June 2022 03:10:40,50
12 June 2022 03:10:45,49.99
12 June 2022 03:10:50,49.99
12 June 2022 03:10:55,49.98
12 June 2022 03:11:00,49.98
12 June 2022 03:11:05,49.97
12 June 2022 03:11:10,49.98
12 June 2022 03:11:15,49.98
12 June 2022 03:11:20,49.99
12 June 2022 03:11:25,50
12 June 2022 03:11:30,50
12 June 2022 03:11:35,49.99
12 June 2022 03:11:40,49.98
12 June 2022 03:11:45,49.98
12 June 2022 03:11:50,49.98
12 June 2022 03:11:55,49.98
12 June 2022 03:12:00,49.99
12 June 2022 03:12:05,49.98
12 June 2022 03:12:10,50
12 June 2022 03:12:15,50.01
12 June 2022 03:12:20,50.02
12 June 2022 03:12:25,50.01
12 June 2022 03:12:30,50.01
12 June 2022 03:12:35,50.01
12 June 2022 03:12:40,50
12 June 2022 03:12:45,49.99
12 June 2022 03:12:50,49.98
12 June 2022 03:12:55,50
12 June 2022 03:13:00,50.02
12 June 2022 03:13:05,50
12 June 2022 03:13:10,50.01
12 June 2022 03:13:15,50.01
12 June 2022 03:13:20,50.01
12 June 2022 03:13:25,50.01
12 June 2022 03:13:30,50.02
12 June 2022 03:13:35,50.01
12 June 2022 03:13:40,50.02
12 June 2022 03:13:45,50.02
12 June 2022 03:13:50,50.03
12 June 2022 03:13:55,50.03
12 June 2022 03:14:00,50.03
12 June 2022 03:14:05,50.01
12 June 2022 03:14:10,50.02
12 June 2022 03:14:15,50.03
12 June 2022 03:14:20,50.03
12 June 2022 03:14:25,50.03
12 June 2022 03:14:30,50.04
12 June 2022 03:14:35,50.03
12 June 2022 03:14:40,50.02
12 June 2022 03:14:45,50.03
12 June 2022 03:14:50,50.02
12 June 2022 03:14:55,50.02
12 June 2022 03:15:00,50.02
12 June 2022 03:15:05,49.99
12 June 2022 03:15:10,50.01
12 June 2022 03:15:15,50.03
12 June 2022 03:15:20,50.01
12 June 2022 03:15:25,50
12 June 2022 03:15:30,50
12 June 2022 03:15:35,50
12 June 2022 03:15:40,50
12 June 2022 03:15:45,49.98
12 June 2022 03:15:50,49.99
12 June 2022 03:15:55,50.01
12 June 2022 03:16:00,50.02
12 June 2022 03:16:05,49.99
12 June 2022 03:16:10,49.99
12 June 2022 03:16:15,49.99
12 June 2022 03:16:20,50
12 June 2022 03:16:25,50
12 June 2022 03:16:30,50
12 June 2022 03:16:35,50.01
12 June 2022 03:16:40,50.02
12 June 2022 03:16:45,50.01
12 June 2022 03:16:50,50
12 June 2022 03:16:55,49.99
12 June 2022 03:17:00,49.99
12 June 2022 03:17:05,49.98
12 June 2022 03:17:10,50
12 June 2022 03:17:15,50
12 June 2022 03:17:20,50.01
