DATE & TIME, FREQUENCY(Hz)
12 June 2022 02:00:00,50
12 June 2022 02:00:05,49.94
12 June 2022 02:00:10,49.97
12 June 2022 02:00:15,49.98
12 June 2022 02:00:20,49.98
12 June 2022 02:00:25,49.98
12 June 2022 02:00:30,49.97
12 June 2022 02:00:35,49.96
12 June 2022 02:00:40,49.97
12 June 2022 02:00:45,49.98
12 June 2022 02:00:50,49.98
12 June 2022 02:00:55,49.97
12 June 2022 02:01:00,49.95
12 June 2022 02:01:05,49.94
12 June 2022 02:01:10,49.96
12 June 2022 02:01:15,49.97
12 June 2022 02:01:20,49.98
12 June 2022 02:01:25,49.96
12 June 2022 02:01:30,49.95
12 June 2022 02:01:35,49.96
12 June 2022 02:01:40,49.96
12 June 2022 02:01:45,49.96
12 June 2022 02:01:50,49.97
12 June 2022 02:01:55,49.99
12 June 2022 02:02:00,49.99
12 June 2022 02:02:05,49.95
12 June 2022 02:02:10,49.95
12 June 2022 02:02:15,49.96
12 June 2022 02:02:20,49.97
12 June 2022 02:02:25,49.98
12 June 2022 02:02:30,49.98
12 June 2022 02:02:35,49.97
12 June 2022 02:02:40,49.98
12 June 2022 02:02:45,49.97
12 June 2022 02:02:50,49.95
12 June 2022 02:02:55,49.96
12 June 2022 02:03:00,49.96
12 June 2022 02:03:05,49.96
12 June 2022 02:03:10,49.99
12 June 2022 02:03:15,49.97
12 June 2022 02:03:20,49.96
12 June 2022 02:03:25,49.98
12 June 2022 02:03:30,50
12 June 2022 02:03:35,50
12 June 2022 02:03:40,50
12 June 2022 02:03:45,50
12 June 2022 02:03:50,50.02
12 June 2022 02:03:55,50.02
12 June 2022 02:04:00,50.01
12 June 2022 02:04:05,49.98
12 June 2022 02:04:10,50
12 June 2022 02:04:15,50.03
12 June 2022 02:04:20,50.02
12 June 2022 02:04:25,50.01
12 June 2022 02:04:30,50
12 June 2022 02:04:35,50.01
12 June 2022 02:04:40,50.02
12 June 2022 02:04:45,50.02
12 June 2022 02:04:50,50.01
12 June 2022 02:04:55,50.01
12 June 2022 02:05:00,50.02
12 June 2022 02:05:05,49.99
12 June 2022 02:05:10,49.98
12 June 2022 02:05:15,50
12 June 2022 02:05:20,50
12 June 2022 02:05:25,50
12 June 2022 02:05:30,50.01
12 June 2022 02:05:35,50.01
12 June 2022 02:05:40,50.02
12 June 2022 02:05:45,50.02
12 June 2022 02:05:50,50.01
12 June 2022 02:05:55,50.02
12 June 2022 02:06:00,50.02
12 June 2022 02:06:05,49.99
12 June 2022 02:06:10,49.98
12 June 2022 02:06:15,50
12 June 2022 02:06:20,50
12 June 2022 02:06:25,49.99
12 June 2022 02:06:30,49.99
12 June 2022 02:06:35,50
12 June 2022 02:06:40,49.99
12 June 2022 02:06:45,49.99
12 June 2022 02:06:50,49.99
12 June 2022 02:06:55,50.01
12 June 2022 02:07:00,50.02
12 June 2022 02:07:05,50
12 June 2022 02:07:10,50
12 June 2022 02:07:15,50.01
12 June 2022 02:07:20,50.02
12 June 2022 02:07:25,50.02
12 June 2022 02:07:30,50.02
12 June 2022 02:07:35,50.02
12 June 2022 02:07:40,50.02
12 June 2022 02:07:45,50.01
12 June 2022 02:07:50,50.02
12 June 2022 02:07:55,50.02
12 June 2022 02:08:00,50.02
12 June 2022 02:08:05,49.98
12 June 2022 02:08:10,50
12 June 2022 02:08:15,50.02
12 June 2022 02:08:20,50.02
12 June 2022 02:08:25,50.01
12 June 2022 02:08:30,50
12 June 2022 02:08:35,50.02
12 June 2022 02:08:40,50.03
12 June 2022 02:08:45,50.03
12 June 2022 02:08:50,50.02
12 June 2022 02:08:55,50.02
12 June 2022 02:09:00,50.03
12 June 2022 02:09:05,50.01
12 June 2022 02:09:10,50.03
12 June 2022 02:09:15,50.02
12 June 2022 02:09:20,50.01
12 June 2022 02:09:25,50.02
12 June 2022 02:09:30,50.03
12 June 2022 02:09:35,50.03
12 June 2022 02:09:40,50.03
12 June 2022 02:09:45,50.03
12 June 2022 02:09:50,50.02
12 June 2022 02:09:55,50.02
12 June 2022 02:10:00,50.04
12 June 2022 02:10:05,50.01
12 June 2022 02:10:10,50.04
12 June 2022 02:10:15,50.04
12 June 2022 02:10:20,50.04
12 June 2022 02:10:25,50.05
12 June 2022 02:10:30,50.05
12 June 2022 02:10:35,50.05
12 June 2022 02:10:40,50.05
12 June 2022 02:10:45,50.05
12 June 2022 02:10:50,50.04
12 June 2022 02:10:55,50.04
12 June 2022 02:11:00,50.05
12 June 2022 02:11:05,50.04
12 June 2022 02:11:10,50.05
12 June 2022 02:11:15,50.06
12 June 2022 02:11:20,50.05
12 June 2022 02:11:25,50.06
12 June 2022 02:11:30,50.05
12 June 2022 02:11:35,50.06
12 June 2022 02:11:40,50.05
12 June 2022 02:11:45,50.05
12 June 2022 02:11:50,50.06
12 June 2022 02:11:55,50.06
12 June 2022 02:12:00,50.05
12 June 2022 02:12:05,50.05
12 June 2022 02:12:10,50.07
12 June 2022 02:12:15,50.06
12 June 2022 02:12:20,50.06
12 June 2022 02:12:25,50.07
12 June 2022 02:12:30,50.07
12 June 2022 02:12:35,50.06
12 June 2022 02:12:40,50.06
12 June 2022 02:12:45,50.06
12 June 2022 02:12:50,50.06
12 June 2022 02:12:55,50.05
12 June 2022 02:13:00,50.05
12 June 2022 02:13:05,50.04
12 June 2022 02:13:10,50.05
12 June 2022 02:13:15,50.06
12 June 2022 02:13:20,50.04
12 June 2022 02:13:25,50.03
12 June 2022 02:13:30,50.04
12 June 2022 02:13:35,50.04
12 June 2022 02:13:40,50.04
12 June 2022 02:13:45,50.04
12 June 2022 02:13:50,50.03
12 June 2022 02:13:55,50.03
12 June 2022 02:14:00,50.03
12 June 2022 02:14:05,50.01
12 June 2022 02:14:10,50.02
12 June 2022 02:14:15,50.02
12 June 2022 02:14:20,50.02
12 June 2022 02:14:25,50.01
12 June 2022 02:14:30,50.02
12 June 2022 02:14:35,50.02
12 June 2022 02:14:40,50.02
12 June 2022 02:14:45,50.03
12 June 2022 02:14:50,50.01
12 June 2022 02:14:55,50.01
12 June 2022 02:15:00,50.01
12 June 2022 02:15:05,49.99
12 June 2022 02:15:10,50
12 June 2022 02:15:15,50.02
12 June 2022 02:15:20,50.01
12 June 2022 02:15:25,50
12 June 2022 02:15:30,49.99
12 June 2022 02:15:35,49.98
12 June 2022 02:15:40,49.98
12 June 2022 02:15:45,49.99
12 June 2022 02:15:50,50
12 June 2022 02:15:55,50
12 June 2022 02:16:00,50
12 June 2022 02:16:05,49.97
12 June 2022 02:16:10,49.99
12 June 2022 02:16:15,50
12 June 2022 02:16:20,50.01
12 June 2022 02:16:25,50.02
12 June 2022 02:16:30,50.03
12 June 2022 02:16:35,50.03
12 June 2022 02:16:40,50.02
12 June 2022 02:16:45,50.03
12 June 2022 02:16:50,50.02
12 June 2022 02:16:55,50.02
12 June 2022 02:17:00,50.02
12 June 2022 02:17:05,50
12 June 2022 02:17:10,50.02
12 June 2022 02:17:15,50.02
12 June 2022 02:17:20,50.01
12 June 2022 02:17:25,50.02
12 June 2022 02:17:30,50.03
12 June 2022 02:17:35,50.02
12 June 2022 02:17:40,50.02
12 June 2022 02:17:45,50.03
12 June 2022 02:17:50,50.03
12 June 2022 02:17:55,50.02
12 June 2022 02:18:00,50.01
12 June 2022 02:18:05,49.99
12 June 2022 02:18:10,50
12 June 2022 02:18:15,50.01
12 June 2022 02:18:20,50.01
12 June 2022 02:18:25,50.01
12 June 2022 02:18:30,50
12 June 2022 02:18:35,49.98
12 June 2022 02:18:40,49.99
12 June 2022 02:18:45,50
12 June 2022 02:18:50,50
12 June 2022 02:18:55,49.99
12 June 2022 02:19:00,49.98
12 June 2022 02:19:05,49.96
12 June 2022 02:19:10,49.99
