DATE & TIME, FREQUENCY(Hz)
12 June 2022 22:00:00,50.05
12 June 2022 22:00:05,50
12 June 2022 22:00:10,50.02
12 June 2022 22:00:15,50.03
12 June 2022 22:00:20,50.02
12 June 2022 22:00:25,50.01
12 June 2022 22:00:30,50.02
12 June 2022 22:00:35,50.03
12 June 2022 22:00:40,50.05
12 June 2022 22:00:45,50.05
12 June 2022 22:00:50,50.04
12 June 2022 22:00:55,50.03
12 June 2022 22:01:00,50.05
12 June 2022 22:01:05,50.05
12 June 2022 22:01:10,50.05
12 June 2022 22:01:15,50.05
12 June 2022 22:01:20,50.04
12 June 2022 22:01:25,50.03
12 June 2022 22:01:30,50.04
12 June 2022 22:01:35,50.05
12 June 2022 22:01:40,50.05
12 June 2022 22:01:45,50.04
12 June 2022 22:01:50,50.03
12 June 2022 22:01:55,50.02
12 June 2022 22:02:00,50.03
12 June 2022 22:02:05,50.02
12 June 2022 22:02:10,50.03
12 June 2022 22:02:15,50.04
12 June 2022 22:02:20,50.04
12 June 2022 22:02:25,50.02
12 June 2022 22:02:30,50.01
12 June 2022 22:02:35,50.03
12 June 2022 22:02:40,50.04
12 June 2022 22:02:45,50.04
12 June 2022 22:02:50,50.05
12 June 2022 22:02:55,50.04
12 June 2022 22:03:00,50.03
12 June 2022 22:03:05,50.02
12 June 2022 22:03:10,50.04
12 June 2022 22:03:15,50.05
12 June 2022 22:03:20,50.05
12 June 2022 22:03:25,50.04
12 June 2022 22:03:30,50.04
12 June 2022 22:03:35,50.04
12 June 2022 22:03:40,50.04
12 June 2022 22:03:45,50.03
12 June 2022 22:03:50,50.01
12 June 2022 22:03:55,50.03
12 June 2022 22:04:00,50.04
12 June 2022 22:04:05,50.01
12 June 2022 22:04:10,50.02
12 June 2022 22:04:15,50.03
12 June 2022 22:04:20,50.03
12 June 2022 22:04:25,50.02
12 June 2022 22:04:30,50.02
12 June 2022 22:04:35,50.02
12 June 2022 22:04:40,50.02
12 June 2022 22:04:45,50.02
12 June 2022 22:04:50,50
12 June 2022 22:04:55,50.01
12 June 2022 22:05:00,50.03
12 June 2022 22:05:05,50.02
12 June 2022 22:05:10,50.02
12 June 2022 22:05:15,50.02
12 June 2022 22:05:20,50.01
12 June 2022 22:05:25,50.01
12 June 2022 22:05:30,50.03
12 June 2022 22:05:35,50.04
12 June 2022 22:05:40,50.01
12 June 2022 22:05:45,50
12 June 2022 22:05:50,50.02
12 June 2022 22:05:55,50.03
12 June 2022 22:06:00,50.04
12 June 2022 22:06:05,50.03
12 June 2022 22:06:10,50.03
12 June 2022 22:06:15,50.04
12 June 2022 22:06:20,50.05
12 June 2022 22:06:25,50.05
12 June 2022 22:06:30,50.05
12 June 2022 22:06:35,50.05
12 June 2022 22:06:40,50.05
12 June 2022 22:06:45,50.05
12 June 2022 22:06:50,50.06
12 June 2022 22:06:55,50.05
12 June 2022 22:07:00,50.04
12 June 2022 22:07:05,50.02
12 June 2022 22:07:10,50.03
12 June 2022 22:07:15,50.04
12 June 2022 22:07:20,50.02
12 June 2022 22:07:25,50.02
12 June 2022 22:07:30,50.04
12 June 2022 22:07:35,50.03
12 June 2022 22:07:40,50.02
12 June 2022 22:07:45,50.01
12 June 2022 22:07:50,50
12 June 2022 22:07:55,50.01
12 June 2022 22:08:00,50.03
12 June 2022 22:08:05,50.01
12 June 2022 22:08:10,50
12 June 2022 22:08:15,50
12 June 2022 22:08:20,50.01
12 June 2022 22:08:25,50.02
12 June 2022 22:08:30,50.04
12 June 2022 22:08:35,50.04
12 June 2022 22:08:40,50.02
12 June 2022 22:08:45,50.03
12 June 2022 22:08:50,50.03
12 June 2022 22:08:55,50.03
12 June 2022 22:09:00,50.03
12 June 2022 22:09:05,50.01
12 June 2022 22:09:10,50.03
12 June 2022 22:09:15,50.04
12 June 2022 22:09:20,50.05
12 June 2022 22:09:25,50.04
12 June 2022 22:09:30,50.02
12 June 2022 22:09:35,50.01
12 June 2022 22:09:40,50.03
12 June 2022 22:09:45,50.03
12 June 2022 22:09:50,50.01
12 June 2022 22:09:55,50
12 June 2022 22:10:00,50
12 June 2022 22:10:05,49.99
12 June 2022 22:10:10,50.02
12 June 2022 22:10:15,50.04
12 June 2022 22:10:20,50.03
12 June 2022 22:10:25,50.02
12 June 2022 22:10:30,50.04
12 June 2022 22:10:35,50.03
12 June 2022 22:10:40,50.02
12 June 2022 22:10:45,50.01
12 June 2022 22:10:50,50.01
12 June 2022 22:10:55,50.03
12 June 2022 22:11:00,50.04
12 June 2022 22:11:05,50.02
12 June 2022 22:11:10,50.02
12 June 2022 22:11:15,50.03
12 June 2022 22:11:20,50.04
12 June 2022 22:11:25,50.04
12 June 2022 22:11:30,50.04
12 June 2022 22:11:35,50.03
12 June 2022 22:11:40,50.01
12 June 2022 22:11:45,50
12 June 2022 22:11:50,50
12 June 2022 22:11:55,50.01
12 June 2022 22:12:00,50.02
12 June 2022 22:12:05,50
12 June 2022 22:12:10,50
12 June 2022 22:12:15,50.02
12 June 2022 22:12:20,50.03
12 June 2022 22:12:25,50.04
12 June 2022 22:12:30,50.03
12 June 2022 22:12:35,50.02
12 June 2022 22:12:40,50.01
12 June 2022 22:12:45,50.01
12 June 2022 22:12:50,50.01
12 June 2022 22:12:55,50.01
12 June 2022 22:13:00,50.03
12 June 2022 22:13:05,50.02
12 June 2022 22:13:10,50.01
12 June 2022 22:13:15,50
12 June 2022 22:13:20,50.01
12 June 2022 22:13:25,50.02
12 June 2022 22:13:30,50.03
12 June 2022 22:13:35,50.04
12 June 2022 22:13:40,50.04
12 June 2022 22:13:45,50.03
12 June 2022 22:13:50,50.04
12 June 2022 22:13:55,50.04
12 June 2022 22:14:00,50.03
12 June 2022 22:14:05,50
12 June 2022 22:14:10,50.01
12 June 2022 22:14:15,50.03
12 June 2022 22:14:20,50.03
12 June 2022 22:14:25,50.01
12 June 2022 22:14:30,50
12 June 2022 22:14:35,49.99
12 June 2022 22:14:40,50
12 June 2022 22:14:45,50.01
12 June 2022 22:14:50,50.02
12 June 2022 22:14:55,50.03
12 June 2022 22:15:00,50.04
12 June 2022 22:15:05,50
12 June 2022 22:15:10,50
12 June 2022 22:15:15,50.04
12 June 2022 22:15:20,50.04
12 June 2022 22:15:25,50.01
12 June 2022 22:15:30,50.01
12 June 2022 22:15:35,50.02
12 June 2022 22:15:40,50.04
12 June 2022 22:15:45,50.03
12 June 2022 22:15:50,50.03
12 June 2022 22:15:55,50.02
12 June 2022 22:16:00,50.01
12 June 2022 22:16:05,50.02
12 June 2022 22:16:10,50.03
12 June 2022 22:16:15,50.02
12 June 2022 22:16:20,50.02
12 June 2022 22:16:25,50.01
12 June 2022 22:16:30,50.02
12 June 2022 22:16:35,50.04
12 June 2022 22:16:40,50.02
12 June 2022 22:16:45,50.01
12 June 2022 22:16:50,50.01
12 June 2022 22:16:55,50.04
12 June 2022 22:17:00,50.05
12 June 2022 22:17:05,50.03
